N,trial,unique_count,collision,responses
5,1,3,True,"['26', '14', '14', '15', '14']"
5,2,2,True,"['15', '14', '14', '14', '14']"
5,3,2,True,"['15', '14', '14', '14', '14']"
5,4,2,True,"['17', '14', '17', '14', '14']"
5,5,4,True,"['13', '14', '17', '17', '19']"
5,6,3,True,"['14', '14', '17', '14', '13']"
10,1,4,True,"['14', '14', '13', '15', '14', '14', '14', '14', '14', '20']"
10,2,4,True,"['14', '20', '14', '27', '20', '15', '14', '14', '14', '14']"
10,3,3,True,"['14', '14', '14', '24', '15', '14', '14', '14', '14', '14']"
10,4,4,True,"['27', '14', '14', '14', '15', '14', '14', '18', '14', '14']"
10,5,3,True,"['14', '14', '14', '14', '14', '14', '14', '13', '14', '21']"
10,6,3,True,"['14', '20', '14', '14', '14', '17', '14', '14', '14', '14']"
20,1,6,True,"['13', '14', '19', '14', '17', '14', '20', '14', '17', '14', '26', '13', '14', '13', '13', '14', '14', '14', '14', '14']"
20,2,6,True,"['14', '14', '14', '14', '17', '18', '14', '14', '14', '14', '14', '20', '14', '14', '14', '14', '20', '13', '15', '15']"
20,3,5,True,"['18', '24', '14', '14', '14', '14', '14', '22', '14', '14', '14', '14', '14', '13', '14', '14', '14', '14', '14', '14']"
20,4,6,True,"['17', '14', '14', '17', '14', '14', '14', '14', '14', '14', '14', '14', '27', '14', '8', '14', '21', '14', '15', '14']"
20,5,5,True,"['17', '27', '14', '14', '14', '14', '14', '15', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '20']"
20,6,4,True,"['14', '22', '14', '20', '14', '20', '14', '14', '14', '14', '15', '14', '14', '14', '14', '14', '14', '14', '14', '14']"
30,1,8,True,"['15', '14', '20', '23', '14', '17', '14', '14', '14', '14', '14', '14', '17', '14', '14', '14', '14', '24', '13', '14', '22', '14', '14', '14', '14', '17', '20', '15', '14', '14']"
30,2,8,True,"['14', '24', '14', '14', '14', '16', '14', '17', '13', '14', '14', '14', '23', '20', '13', '14', '24', '14', '14', '14', '14', '17', '25', '14', '14', '14', '14', '14', '14', '17']"
30,3,9,True,"['14', '14', '8', '14', '14', '14', '14', '12', '27', '14', '20', '14', '14', '23', '14', '14', '14', '15', '7', '14', '12', '14', '15', '14', '13', '20', '14', '14', '14', '23']"
30,4,8,True,"['14', '14', '14', '26', '14', '20', '23', '15', '14', '27', '27', '14', '24', '14', '13', '20', '14', '14', '14', '14', '14', '20', '26', '14', '14', '14', '24', '14', '14', '14']"
30,5,4,True,"['14', '14', '14', '14', '14', '14', '14', '14', '14', '13', '14', '14', '14', '14', '14', '15', '14', '14', '14', '17', '14', '14', '14', '17', '14', '14', '14', '14', '14', '14']"
30,6,6,True,"['14', '13', '14', '14', '14', '14', '14', '14', '14', '13', '24', '14', '14', '13', '14', '13', '20', '14', '14', '14', '14', '14', '14', '17', '14', '14', '14', '13', '24', '15']"
