config_name,temperature,top_p,response,timestamp
Temp Baja,0.2,1.0,A,2025-12-29T15:49:35.798077
Temp Baja,0.2,1.0,A,2025-12-29T15:49:36.258249
Temp Baja,0.2,1.0,A,2025-12-29T15:49:36.723977
Temp Baja,0.2,1.0,A,2025-12-29T15:49:37.178780
Temp Baja,0.2,1.0,A,2025-12-29T15:49:37.638481
Temp Baja,0.2,1.0,A,2025-12-29T15:49:38.098969
Temp Baja,0.2,1.0,A,2025-12-29T15:49:38.567212
Temp Baja,0.2,1.0,A,2025-12-29T15:49:39.026482
Temp Baja,0.2,1.0,A,2025-12-29T15:49:39.480324
Temp Baja,0.2,1.0,A,2025-12-29T15:49:39.928679
Temp Baja,0.2,1.0,A,2025-12-29T15:49:40.385362
Temp Baja,0.2,1.0,A,2025-12-29T15:49:40.843964
Temp Baja,0.2,1.0,A,2025-12-29T15:49:41.303720
Temp Baja,0.2,1.0,A,2025-12-29T15:49:41.766795
Temp Baja,0.2,1.0,A,2025-12-29T15:49:42.226916
Temp Baja,0.2,1.0,A,2025-12-29T15:49:42.684511
Temp Baja,0.2,1.0,A,2025-12-29T15:49:43.149476
Temp Baja,0.2,1.0,A,2025-12-29T15:49:43.609807
Temp Baja,0.2,1.0,A,2025-12-29T15:49:44.066029
Temp Baja,0.2,1.0,A,2025-12-29T15:49:44.523247
Temp Baja,0.2,1.0,A,2025-12-29T15:49:44.972528
Temp Baja,0.2,1.0,A,2025-12-29T15:49:45.420402
Temp Baja,0.2,1.0,A,2025-12-29T15:49:45.880111
Temp Baja,0.2,1.0,A,2025-12-29T15:49:46.332487
Temp Baja,0.2,1.0,A,2025-12-29T15:49:46.792459
Temp Baja,0.2,1.0,A,2025-12-29T15:49:47.250419
Temp Baja,0.2,1.0,A,2025-12-29T15:49:47.702420
Temp Baja,0.2,1.0,A,2025-12-29T15:49:48.154085
Temp Baja,0.2,1.0,A,2025-12-29T15:49:48.597748
Temp Baja,0.2,1.0,A,2025-12-29T15:49:49.047884
Temp Baja,0.2,1.0,A,2025-12-29T15:49:51.604803
Temp Baja,0.2,1.0,A,2025-12-29T15:49:54.161010
Temp Baja,0.2,1.0,A,2025-12-29T15:49:56.720331
Temp Baja,0.2,1.0,A,2025-12-29T15:49:59.271238
Temp Baja,0.2,1.0,A,2025-12-29T15:50:01.820902
Temp Baja,0.2,1.0,A,2025-12-29T15:50:04.386649
Temp Baja,0.2,1.0,A,2025-12-29T15:50:06.947952
Temp Baja,0.2,1.0,A,2025-12-29T15:50:09.521211
Temp Baja,0.2,1.0,A,2025-12-29T15:50:12.064063
Temp Baja,0.2,1.0,A,2025-12-29T15:50:14.619740
Temp Baja,0.2,1.0,A,2025-12-29T15:50:17.161556
Temp Baja,0.2,1.0,A,2025-12-29T15:50:19.708764
Temp Baja,0.2,1.0,A,2025-12-29T15:50:22.261266
Temp Baja,0.2,1.0,A,2025-12-29T15:50:24.816188
Temp Baja,0.2,1.0,A,2025-12-29T15:50:27.360913
Temp Baja,0.2,1.0,A,2025-12-29T15:50:29.919894
Temp Baja,0.2,1.0,A,2025-12-29T15:50:32.471271
Temp Baja,0.2,1.0,A,2025-12-29T15:50:35.017382
Temp Baja,0.2,1.0,A,2025-12-29T15:50:37.559835
Temp Baja,0.2,1.0,A,2025-12-29T15:50:40.114395
Temp Baja,0.2,1.0,A,2025-12-29T15:50:42.676697
Temp Baja,0.2,1.0,A,2025-12-29T15:50:45.218970
Temp Baja,0.2,1.0,A,2025-12-29T15:50:47.755544
Temp Baja,0.2,1.0,A,2025-12-29T15:50:50.298514
Temp Baja,0.2,1.0,A,2025-12-29T15:50:52.834025
Temp Baja,0.2,1.0,A,2025-12-29T15:50:55.396174
Temp Baja,0.2,1.0,A,2025-12-29T15:50:57.944118
Temp Baja,0.2,1.0,A,2025-12-29T15:51:00.490841
Temp Baja,0.2,1.0,A,2025-12-29T15:51:03.059626
Temp Baja,0.2,1.0,A,2025-12-29T15:51:05.615242
Temp Baja,0.2,1.0,A,2025-12-29T15:51:08.167760
Temp Baja,0.2,1.0,A,2025-12-29T15:51:10.714817
Temp Baja,0.2,1.0,A,2025-12-29T15:51:13.264274
Temp Baja,0.2,1.0,A,2025-12-29T15:51:15.809887
